festival_year,university_id,student_count,menu_category,price,observation_timestamp,target_window_end,festival_day,hour,minute_of_day,second_of_minute,minutes_to_close,seconds_to_close,minutes_to_festival_end,recent_sales_30m,previous_sales_30m,precipitation_probability,temperature,event_ending_soon,discount_rate,future_sales_30m,data_class
2023,zero-univ,15000,food,6000,2023-05-22T16:00:00,2023-05-22T16:30:00,1,16,960,0,360,21600,3240,22,13,5,25.0,0,20,24,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:01:01,2023-05-22T16:31:01,1,16,961,1,358,21539,3238,8,22,70,17.0,0,0,10,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:02:02,2023-05-22T16:32:02,1,16,962,2,357,21478,3237,17,8,15,22.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:03:03,2023-05-22T16:33:03,1,16,963,3,356,21417,3236,16,17,45,25.0,0,0,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:04:04,2023-05-22T16:34:04,1,16,964,4,355,21356,3235,14,16,85,25.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:05:05,2023-05-22T16:35:05,1,16,965,5,354,21295,3234,12,14,70,21.0,0,0,8,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:06:06,2023-05-22T16:36:06,1,16,966,6,353,21234,3233,19,12,5,27.0,0,0,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:07:07,2023-05-22T16:37:07,1,16,967,7,352,21173,3232,14,19,5,24.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:08:08,2023-05-22T16:38:08,1,16,968,8,351,21112,3231,7,14,25,23.0,0,0,8,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:09:09,2023-05-22T16:39:09,1,16,969,9,350,21051,3230,11,7,45,26.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:10:10,2023-05-22T16:40:10,1,16,970,10,349,20990,3229,15,11,70,21.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:11:11,2023-05-22T16:41:11,1,16,971,11,348,20929,3228,14,15,70,22.0,0,20,18,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:12:12,2023-05-22T16:42:12,1,16,972,12,347,20868,3227,16,14,70,20.0,0,20,17,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:13:13,2023-05-22T16:43:13,1,16,973,13,346,20807,3226,15,16,25,20.0,0,0,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:14:14,2023-05-22T16:44:14,1,16,974,14,345,20746,3225,14,15,70,27.0,0,0,11,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:15:15,2023-05-22T16:45:15,1,16,975,15,344,20685,3224,15,14,15,17.0,0,10,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:16:16,2023-05-22T16:46:16,1,16,976,16,343,20624,3223,13,15,85,24.0,0,0,10,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:17:17,2023-05-22T16:47:17,1,16,977,17,342,20563,3222,12,13,85,24.0,0,10,12,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:18:18,2023-05-22T16:48:18,1,16,978,18,341,20502,3221,18,12,25,21.0,0,0,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:19:19,2023-05-22T16:49:19,1,16,979,19,340,20441,3220,17,18,70,21.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:20:20,2023-05-22T16:50:20,1,16,980,20,339,20380,3219,14,17,25,18.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:21:21,2023-05-22T16:51:21,1,16,981,21,338,20319,3218,23,14,5,24.0,0,20,27,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:22:22,2023-05-22T16:52:22,1,16,982,22,337,20258,3217,10,23,25,18.0,0,10,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:23:23,2023-05-22T16:53:23,1,16,983,23,336,20197,3216,13,10,25,22.0,0,0,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:24:24,2023-05-22T16:54:24,1,16,984,24,335,20136,3215,10,13,85,25.0,0,0,8,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:25:25,2023-05-22T16:55:25,1,16,985,25,334,20075,3214,19,10,45,22.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:26:26,2023-05-22T16:56:26,1,16,986,26,333,20014,3213,14,19,15,21.0,0,0,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:27:27,2023-05-22T16:57:27,1,16,987,27,332,19953,3212,12,14,45,19.0,0,0,11,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:28:28,2023-05-22T16:58:28,1,16,988,28,331,19892,3211,11,12,85,24.0,0,20,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:29:29,2023-05-22T16:59:29,1,16,989,29,330,19831,3210,10,11,45,21.0,0,0,11,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:30:30,2023-05-22T17:00:30,1,16,990,30,329,19770,3209,17,10,15,21.0,0,10,17,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:31:31,2023-05-22T17:01:31,1,16,991,31,328,19709,3208,9,17,70,23.0,0,10,7,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:32:32,2023-05-22T17:02:32,1,16,992,32,327,19648,3207,18,9,5,28.0,0,20,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:33:33,2023-05-22T17:03:33,1,16,993,33,326,19587,3206,15,18,15,27.0,0,0,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:34:34,2023-05-22T17:04:34,1,16,994,34,325,19526,3205,20,15,25,18.0,0,0,15,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:35:35,2023-05-22T17:05:35,1,16,995,35,324,19465,3204,13,20,25,21.0,0,10,21,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:36:36,2023-05-22T17:06:36,1,16,996,36,323,19404,3203,7,13,70,19.0,0,0,6,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:37:37,2023-05-22T17:07:37,1,16,997,37,322,19343,3202,18,7,45,26.0,0,0,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:38:38,2023-05-22T17:08:38,1,16,998,38,321,19282,3201,17,18,25,25.0,0,0,17,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:39:39,2023-05-22T17:09:39,1,16,999,39,320,19221,3200,13,17,45,19.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:40:40,2023-05-22T17:10:40,1,16,1000,40,319,19160,3199,18,13,15,21.0,0,10,17,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:41:41,2023-05-22T17:11:41,1,16,1001,41,318,19099,3198,12,18,85,26.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:42:42,2023-05-22T17:12:42,1,16,1002,42,317,19038,3197,12,12,70,24.0,0,10,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:43:43,2023-05-22T17:13:43,1,16,1003,43,316,18977,3196,15,12,5,21.0,0,0,13,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:44:44,2023-05-22T17:14:44,1,16,1004,44,315,18916,3195,18,15,45,23.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:45:45,2023-05-22T17:15:45,1,16,1005,45,314,18855,3194,12,18,70,18.0,0,0,11,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:46:46,2023-05-22T17:16:46,1,16,1006,46,313,18794,3193,11,12,5,19.0,0,10,10,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:47:47,2023-05-22T17:17:47,1,16,1007,47,312,18733,3192,14,11,25,20.0,0,0,12,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:48:48,2023-05-22T17:18:48,1,16,1008,48,311,18672,3191,11,14,15,23.0,0,0,12,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:49:49,2023-05-22T17:19:49,1,16,1009,49,310,18611,3190,14,11,45,21.0,0,0,16,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:50:50,2023-05-22T17:20:50,1,16,1010,50,309,18550,3189,17,14,15,24.0,0,0,14,SYNTHETIC_HISTORY
2023,zero-univ,15000,food,6000,2023-05-22T16:51:51,2023-05-22T17:21:51,1,16,1011,51,308,18489,3188,17,17,85,20.0,0,0,8,SYNTHETIC_HISTORY
