timestamp,booth_id,menu_id,current_stock,additional_stock
2026-05-22T17:30:00,booth-chicken,menu-chicken,345,0
2026-05-22T18:00:00,booth-chicken,menu-chicken,300,0
2026-05-22T18:30:00,booth-chicken,menu-chicken,262,0
2026-05-22T17:30:00,booth-drink,menu-drink,380,0
2026-05-22T18:00:00,booth-drink,menu-drink,300,0
2026-05-22T18:30:00,booth-drink,menu-drink,210,0
2026-05-22T17:30:00,booth-tteok,menu-tteok,305,0
2026-05-22T18:00:00,booth-tteok,menu-tteok,263,0
2026-05-22T18:30:00,booth-tteok,menu-tteok,225,0
2026-05-22T17:30:00,booth-waffle,menu-waffle,225,0
2026-05-22T18:00:00,booth-waffle,menu-waffle,195,0
2026-05-22T18:30:00,booth-waffle,menu-waffle,160,0

